gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE470	-0.51393		-0.29838		-0.25563		-0.39888	
AIPGENE471	-0.40736		-0.30272		-0.20714		-0.31809	
AIPGENE472	0.5386		0.07369		0.10532		0.44097	
AIPGENE473	0.011	0.21452	-0.14191	0.07117	-0.25273	-0.05965	-0.02861	0.00312
AIPGENE475	0.22954		-0.0915		0.03782		0.08078	
AIPGENE476	0.12203		0.02018		-0.05737		-0.01183	
AIPGENE477	0.57359		-0.20116		0.20607		-0.15715	
AIPGENE478	0.09201		0.15968		0.13134		-0.04081	
AIPGENE479	0.05101	0.01212	-0.05428	-0.00394	-0.05641	0.00523	-0.03304	-0.0191
AIPGENE480	0.12889		0.10903		0.01335		-0.27849	
AIPGENE481	0.1942		0.18802		0.15313		0.25549	
AIPGENE482	-0.18637		-0.16769		-0.37417		-0.42923	
